167.87662,52.026381;168.16625,52.180848
167.89927,31.173178;168.87821,33.697801
167.93455,52.267735;167.87662,52.026381
168.05988,62.404631;168.24331,61.960539
168.16625,52.180848;168.30141,51.437476
168.24331,61.960539;168.4364,62.250164
168.30141,51.437476;168.55242,51.292663
168.31346,33.756972;167.89927,31.173178
168.4076,58.504331;167.86697,57.838192
168.4364,62.250164;168.52328,61.912268
168.46402,31.114007;169.44296,33.717525
168.52328,61.912268;168.65844,62.143968
168.54276,58.311247;168.4076,58.504331
168.55242,51.292663;169.50818,51.263701
168.65844,62.143968;168.75498,61.748147
168.75498,61.748147;168.94807,62.172931
168.87821,33.697801;168.46402,31.114007
168.94807,62.172931;169.257,61.902614
169.00616,58.764994;168.54276,58.311247
169.02877,31.133731;170.00772,33.599184
169.17028,58.591218;169.00616,58.764994
169.257,61.902614;169.35354,62.115006
169.35354,62.115006;169.52732,61.574372
169.44296,33.717525;169.02877,31.133731
169.45025,49.468024;164.43974,49.979695
169.49852,58.977386;169.17028,58.591218
169.50818,51.263701;169.45025,49.468024
169.52732,61.574372;169.67213,62.095697
169.59353,31.01539;96.223199,17.242363
169.65299,58.755339;169.49852,58.977386
169.67213,62.095697;170.00037,61.719184
169.90388,30.005215;161.34062,30.854783
169.94262,58.900152;169.65299,58.755339
17.034713,42.930119;16.968687,42.441526
17.100739,48.502715;18.685364,50.906062
17.298817,42.467937;17.034713,42.930119
17.48369,42.771656;17.298817,42.467937
17.536511,45.782443;18.104335,45.808853
17.628948,48.410278;17.100739,48.502715
17.701614,65.121265;17.701614,65.724239
17.701614,65.724239;12.425585,65.961122
17.809288,67.317815;17.809288,68.093068
17.809288,68.093068;19.553607,68.028464
17.840231,42.547168;17.48369,42.771656
17.972283,42.969734;17.840231,42.547168
170.00037,61.719184;170.40585,61.757801
170.00772,33.599184;169.59353,31.01539
170.20328,58.610527;169.94262,58.900152
170.40585,61.757801;170.85959,62.617023
170.49279,23.816887;169.90388,30.005215
170.57014,58.793956;170.20328,58.610527
170.65694,34.233726;170.87898,36.096982
170.67624,42.632861;170.71486,43.965138
170.71486,43.965138;172.63604,43.598279
170.85959,62.617023;171.14922,61.806072
170.87898,36.096982;172.97394,35.604619
170.89838,58.349864;170.57014,58.793956
171.05276,49.342519;171.07207,51.09958
171.07207,51.09958;179.78979,50.250012
171.08171,30.922342;171.78647,23.807213
171.14922,61.806072;171.41954,61.690222
171.18787,33.316579;160.7517,34.735743
171.31339,22.735619;170.49279,23.816887
171.34247,58.57191;170.89838,58.349864
171.41954,61.690222;171.60297,62.617023
171.60297,62.617023;171.96017,61.728838
171.62244,58.195397;171.34247,58.57191
171.78647,23.807213;177.07696,21.113697
171.85414,58.407789;171.62244,58.195397
171.96017,61.728838;172.27876,62.163276
172.00861,58.234014;171.85414,58.407789
172.13412,58.581564;172.00861,58.234014
172.27876,62.163276;172.41392,61.680568
172.31755,58.407789;172.13412,58.581564
172.40443,58.620181;172.31755,58.407789
172.41392,61.680568;172.80974,62.443248
172.63604,43.598279;172.78086,44.052025
172.78086,44.052025;174.28691,44.042375
172.80974,62.443248;173.21521,61.535755
172.88714,58.87119;172.40443,58.620181
172.97394,35.604619;173.27322,36.203178
173.09944,49.149436;171.05276,49.342519
173.11875,48.531568;173.09944,49.149436
173.18642,59.238048;172.88714,58.87119
173.21521,61.535755;173.46622,61.970193
173.27322,36.203178;174.89512,36.164561
173.34089,58.996694;173.18642,59.238048
173.38916,59.160815;173.34089,58.996694
173.46622,61.970193;174.04547,61.603334
173.4663,42.140498;170.67624,42.632861
173.63042,41.599864;173.4663,42.140498
173.81394,58.87119;173.38916,59.160815
174.04547,61.603334;174.19994,62.201893
174.13253,59.189777;173.81394,58.87119
174.19994,62.201893;174.51853,61.641951
174.28691,44.042375;173.11875,48.531568
174.4125,58.890498;174.13253,59.189777
174.51853,61.641951;174.57645,62.047426
174.54766,59.035311;174.4125,58.890498
174.57645,62.047426;174.7985,61.497138
174.7985,61.497138;175.06882,61.960539
174.89512,36.164561;173.63042,41.599864
174.93383,58.822919;174.54766,59.035311
175.06882,61.960539;175.30052,61.120625
175.15587,59.083581;174.93383,58.822919
175.30052,61.120625;175.41637,61.699876
175.41637,61.699876;175.64807,61.526101
175.60962,58.764994;175.15587,59.083581
175.64807,61.526101;175.87977,61.931576
175.73512,59.044965;175.60962,58.764994
175.87977,61.931576;175.98596,61.333017
175.95717,58.822919;175.73512,59.044965
175.98596,61.333017;176.16939,61.94123
176.15025,58.977386;175.95717,58.822919
176.16939,61.94123;176.40109,61.574372
176.40109,61.574372;176.84518,61.873651
176.77778,58.301593;176.15025,58.977386
176.84518,61.873651;176.93207,61.24613
176.93207,61.24613;177.1155,61.748147
177.03844,58.436752;176.77778,58.301593
177.07696,21.113697;182.66672,23.961679
177.1155,61.748147;177.26031,61.70953
177.14451,19.810403;171.31339,22.735619
177.26031,61.70953;177.52098,61.47783
177.46322,57.770613;177.03844,58.436752
177.52098,61.47783;177.67544,61.979847
177.67544,61.979847;177.79129,61.47783
177.79129,61.47783;178.03265,62.028118
177.80112,57.934734;177.46322,57.770613
177.81073,48.666727;178.01347,35.073643
178.01347,35.073643;188.68134,36.299724
178.01351,56.843812;177.80112,57.934734
178.03265,62.028118;178.24504,61.0627
178.24504,61.0627;178.4864,61.622642
178.29348,56.486607;178.01351,56.843812
178.4576,56.612112;178.29348,56.486607
178.4864,61.622642;178.63121,61.207513
178.62172,56.264561;178.4576,56.612112
178.63121,61.207513;178.81464,61.82538
178.76654,56.901737;178.62172,56.264561
178.81464,61.82538;178.9691,61.255784
178.9691,61.255784;179.14288,61.786764
179.07547,57.336175;178.76654,56.901737
